parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
23rbhc,Troms Politidistrikt,211,Trafikk,Målselv,23rbhc-0,"Personbil kjørt av veien, ingen personskade. Forholdet skjedd på en kommunal sidevei, så hastigheten har vært lav. Ingen mistanke om ruspåvirkelse. Fører var alene i bilen. Sak opprettes.",2023-10-04T15:49:12.063009+00:00,
23c6hs,Sør-Øst Politidistrikt,204,Ro og orden,Ringerike,23c6hs-0,16:06 Melding fra togleder om at toget som ankommer Hønefoss har 2 rusede personer som lager problemer på toget. Pat til stedet og fått kontroll på de 2 fulle mennene. Begge to blir innbrakt til arresten. ,2023-10-04T15:39:44.8687656+00:00,
23c6hs,Sør-Øst Politidistrikt,204,Ro og orden,Ringerike,23c6hs-1,De klarte ikke oppføre seg og var svært hissige begge to. Sak opprettet.,2023-10-04T15:39:51.856758+00:00,
2303j5,Sør-Øst Politidistrikt,204,Ulykke,Skien,2303j5-0,16:58 Trafikkulykke mellom sparkesykkel og bil i gangfelt. Patruljen er på stedet nå. Oppdateres.,2023-10-04T15:36:18.5021947+00:00,
2303j5,Sør-Øst Politidistrikt,204,Ulykke,Skien,2303j5-1,Sparkesykkelen er ikke lenger kjørbar. Fører kjøres legevakten.,2023-10-04T15:41:10.8073211+00:00,
2303j5,Sør-Øst Politidistrikt,204,Ulykke,Skien,2303j5-2,Vi mistenker bilfører for brudd på vikeplikten. Førerkortet ble beslaglagt. Sak opprettet.,2023-10-04T15:49:52.6521985+00:00,
23n0jk,Innlandet Politidistrikt,203,Ulykke,Nord-Fron,23n0jk-0,kl. 1545: Politier har vært på stedet etter melding om ulykke med en gravemaskin som hadde kjørt av veien og veltet. Fører er fraktet til sykehus. Politiet har gjort undersøkelser på stedet og oppretter sak.,2023-10-04T15:34:19.7307748+00:00,
239xjc,Trøndelag Politidistrikt,209,Tyveri,Trondheim,239xjc-0,Politiet har pågrepet en manns person i personbil som er meldt stjålet. ,2023-10-04T15:27:42.9041081+00:00,
239xjc,Trøndelag Politidistrikt,209,Tyveri,Trondheim,239xjc-1,"Politiet oppretter anmeldelse på besittelse kniv på offentlig sted, kjøring uten gyldig førerkort, kjøring av motorvogn i ruspåvirkning og brukstyveri av motorvogn.",2023-10-04T15:42:32.39001+00:00,
23ztjc,Øst Politidistrikt,202,Trafikk,Lillestrøm,23ztjc-0,Melding om trafikkulykke på stedet mellom en lastebil og en personbil. Trolig ingen personskader. Politiet er fremme på stedet.,2023-10-04T15:23:47.5991123+00:00,
23ztjc,Øst Politidistrikt,202,Trafikk,Lillestrøm,23ztjc-1,3  personer på stedet og alle sjekket av helse. Ingen personskader.,2023-10-04T15:43:50.1582845+00:00,
23ztjc,Øst Politidistrikt,202,Trafikk,Lillestrøm,23ztjc-2,Det er bestilt berging til personbilen. Trafikken går rolig forbi i venstre kjørefelt.,2023-10-04T15:44:36.3960915+00:00,
23ztjc,Øst Politidistrikt,202,Trafikk,Lillestrøm,23ztjc-3,Veien er ryddet. Politiet oppretter sak.,2023-10-04T16:35:57.5613174+00:00,
23lqks,Sør-Øst Politidistrikt,204,Ro og orden,Porsgrunn,23lqks-0,"16:20 Det kom flere nødtelefoner fra området om slåssing. Da patruljen ankom var alt rolig. Vi har ikke opplysninger om at noen er skadet. De involverte ble identifisert av  patruljen. Detaljer rundt hendelen er litt mindre konkretisert. 
",2023-10-04T15:19:02.489368+00:00,
23lqks,Sør-Øst Politidistrikt,204,Ro og orden,Porsgrunn,23lqks-1,"En mann ble bortvist, mann nr 2 var mannen som var involvert på legevakten i tidligere meldinger. Han ble innbrakt til arresten.",2023-10-04T15:19:15.3560679+00:00,
236mk5,Møre og Romsdal Politidistrikt,208,Ro og orden,Ålesund,236mk5-0,Overstadig berusa person var ufin mot både ansatte og andre kunder på en bensinstasjon. Insatt i arrest og anmeldt for ordensforstyrrelse.,2023-10-04T15:16:54.2823522+00:00,
23whkk,Innlandet Politidistrikt,203,Trafikk,Lillehammer,23whkk-0,"Utrykningspolitiet har gjennomført laserkontroll i skiltet 50-sone. 4 har fått forenklet forelegg for høy hastighet, mens 1 fører anmeldes og får førerkortet beslaglagt for å ha kjørt i 80 km/t på stedet.",2023-10-04T15:13:45.205122+00:00,
23hdld,Øst Politidistrikt,202,Trafikk,Mysen,23hdld-0,Trafikkulykke. Mulig flere biler involvert. Ukjent skadeomfang. Nødetatene rykker nå ut til stedet.,2023-10-04T14:39:29.6833859+00:00,
2349lc,Vest Politidistrikt,207,Trafikk,Bergen,2349lc-0,Denne meldingen har blitt trukket.,2023-10-04T14:39:12.7335796+00:00,
2349lc,Vest Politidistrikt,207,Trafikk,Bergen,2349lc-1,Kl. 1528 stanset politiet ein moped etter melding frå publikum om mogleg rusa førar. Mopeden er meld stolen og det er mistanke om at førar har køyrt i ruspåverka tilstand.,2023-10-04T14:41:40.9236996+00:00,
23s5ls,Sør-Øst Politidistrikt,204,Ro og orden,Bamble,23s5ls-0,15:25 Melding fra et legekontor som hadde en ruset mann på besøk. Han var truende mot legen og forsøkte å slå. Ingen er skadet. Mannen var borte da vi ankom. Sak opprettet. ,2023-10-04T14:30:39.534309+00:00,
23f2m4,Agder Politidistrikt,205,Trafikk,Kristiansand,23f2m4-0,"Kl 1621. Politi og ambulanse rykker ut til Elvegata der en person skal være påkjørt av el-sparkesykkel. Pasient er våken og ved bevissthet, skadegrad utover dette er ukjent. Oppdateres. ",2023-10-04T14:25:15.1349527+00:00,
23f2m4,Agder Politidistrikt,205,Trafikk,Kristiansand,23f2m4-1,Politiet er på stedet og innhenter opplysninger om hva som har skjedd. En person kjøres til legevakt av ambulanse for sjekk og behandling.,2023-10-04T14:42:35.2365969+00:00,
23f2m4,Agder Politidistrikt,205,Trafikk,Kristiansand,23f2m4-2,Politiet har avsluttet på stedet og oppretter sak.,2023-10-04T14:54:58.9848203+00:00,
231mkv,Øst Politidistrikt,202,Dyr,Sarpsborg,231mkv-0,Melder til politiet har kontroll på en sort/grå/brun Labrador eller Golden Retriever. En tispe. Savner du denne hunden så ring 02800.,2023-10-04T14:08:35.9066605+00:00,
23qxmw,Trøndelag Politidistrikt,209,Voldshendelse,Levanger,23qxmw-0,Politiet rykker ut til slåsskamp i Levanger sentrum.  Oppdatering kommer.,2023-10-04T14:06:45.6887716+00:00,
23qxmw,Trøndelag Politidistrikt,209,Voldshendelse,Levanger,23qxmw-1,"Politiet har ikke kommet i kontakt med partene, som var borte fra stedet, uvisst hva som har skjedd.",2023-10-04T14:48:49.1018308+00:00,
23bsmc,Øst Politidistrikt,202,Trafikk,Indre Østfold,23bsmc-0,UP har hatt laserkontroll langs Osloveien i Hobøl. Resultatet av denne ble 2 forenklede forelegg for hastighet. Høyeste målte hastighet var 96 km/t i 80-sonen.,2023-10-04T14:02:29.9045116+00:00,
23mln4,Troms Politidistrikt,211,Trafikk,Tromsø,23mln4-0,Mindre trafikkuhell der to personbiler er involvert. Kun snakk om materielle skader. Brudd på vikeplikten ser ut til å være årsak til uhellet. Sak opprettes. ,2023-10-04T13:33:08.6235782+00:00,
238gnk,Sør-Øst Politidistrikt,204,Trafikk,Skien,238gnk-0,"13:53 UP stoppet en mann i 40 årene fra Telemark. Han hadde ikke førerkort, og mistenkes for å være ruset under kjøring. Prøver tatt og sak opprettet. ",2023-10-04T13:32:28.0266909+00:00,
23xcpb,Sør-Øst Politidistrikt,204,Ro og orden,Drammen,23xcpb-0,14:24 Melding fra en vekter om en svært full mann (40 årene)  som verbalt truet vekterne. Politiet til stedet og mannen var beruset og klarte ikke oppføre seg. Han truet politiet verbalt og ble til slutt innbrakt til arresten.  Sak opprettet.,2023-10-04T13:30:03.4699007+00:00,
23k8pc,Vest Politidistrikt,207,Andre hendelser,Bergen,23k8pc-0,"Naudetatane øver saman i Bergen
I kveld mellom kl. 14 og 20 øver uniformert mannskap frå politi, helse og brannvesen ute og inne på Amalie Skram vgs. Folk kan høyre smell og skot, personar som skrik og sjå røyk. Området for øvinga er merka med sperreband.",2023-10-04T13:23:38.1483127+00:00,
2354ps,Agder Politidistrikt,205,Trafikk,Kristiansand,2354ps-0,Flere meldinger om syklist - retning Kristiansand.  ,2023-10-04T13:13:59.2160468+00:00,
2354ps,Agder Politidistrikt,205,Trafikk,Kristiansand,2354ps-1,Politiet har nå kontroll på syklisten - fjernet fra E39. Vil bli anmeldt for dette.,2023-10-04T13:24:54.0185852+00:00,
23t1q4,Trøndelag Politidistrikt,209,Trafikk,Stjørdal,23t1q4-0,"Nødetatene har rykket ut til trafikkulykke på Stjørdal, to biler involvert, formentlig påkjørsel bakfra. ingen personskade. Politiet oppretter anmeldelse.",2023-10-04T13:11:37.5282319+00:00,
23gqkx,Møre og Romsdal Politidistrikt,208,Trafikk,Sykkylven,23gqkx-0,I forbindelse med kontroll av kjøretøy ble en fører tatt med til lege for blodprøvetaking. Fører var beruset. Førerkortet blir beslaglagt og fører vil bli anmeldt for forholdet.,2023-10-04T12:41:27.7412745+00:00,
232wqt,Nordland Politidistrikt,210,Trafikk,Bø,232wqt-0,"Up har gjennomført fartskontroll i 60 sone. 11 førere bøtelagt, høyeste hastighet 80 km/t.",2023-10-04T12:38:18.5576454+00:00,
23rrqc,Vest Politidistrikt,207,Trafikk,Austevoll,23rrqc-0,"Husaviksvingen, singelulykke, bil med fire personer har kjørt av veien, rullet rundt, står på alle hjul. Ingen fastklemte. Alle våkne og bevisste. Nødetatene er på vei.",2023-10-04T12:06:21.2600614+00:00,
23rrqc,Vest Politidistrikt,207,Trafikk,Austevoll,23rrqc-1,FV 546 Husavik er helt sperret. De fire involverte blir undersøkt av helse på stedet.,2023-10-04T12:19:46.8848395+00:00,
23rrqc,Vest Politidistrikt,207,Trafikk,Austevoll,23rrqc-2,"De fire er sjekket av helse. En av dem hadde fått et slag i ansiktet da bilen rullet rundt. De er dim av helse. Bilen har sans hatt for stor fart, slik at den ikke klarte svingen. Ingen mistanke om kjøring i ruspåvirket tilstand. Førerkortbeslag. Sak opprettes.",2023-10-04T12:47:46.2178775+00:00,
23cnrr,Innlandet Politidistrikt,203,Ulykke,Stange,23cnrr-0,"Kl: 1356 Trafikkulykke, sykelist kollidert med buss, nødetater på veg, forts.",2023-10-04T12:00:15.1674331+00:00,
23cnrr,Innlandet Politidistrikt,203,Ulykke,Stange,23cnrr-1,"Sykelist syklet inn i siden på rutebuss, bevist, sjekkes av ambulanse på stedet, trafikken flyter, forts.",2023-10-04T12:11:16.9124455+00:00,
23cnrr,Innlandet Politidistrikt,203,Ulykke,Stange,23cnrr-2,Vi vil avhøre bussjåføren og etterforske saken videre.,2023-10-04T12:19:04.8628929+00:00,
230kr4,Agder Politidistrikt,205,Trafikk,Lindesnes,230kr4-0,Bilfører mistenkes for kjøring i påvirket tilstand og uten gyldig førerkort. Tas med til legevakt for nødvendige prøver og sak opprettes.,2023-10-04T11:55:51.4738134+00:00,
23nfrk,Innlandet Politidistrikt,203,Ulykke,Etnedal,23nfrk-0,"K: 1348 Trafikkulykke, utforkjøring personbil, nødetater på veg, forts.",2023-10-04T11:54:37.4812403+00:00,
23nfrk,Innlandet Politidistrikt,203,Ulykke,Etnedal,23nfrk-1,"Fire personer involvert, en av disse kjørt Gjøvik sykehus lettere skadd, forts.",2023-10-04T12:17:07.9719509+00:00,
23nfrk,Innlandet Politidistrikt,203,Ulykke,Etnedal,23nfrk-2,Vi oppretter sak og etterforsker.,2023-10-04T12:20:06.5774138+00:00,
239bs7,Agder Politidistrikt,205,Andre hendelser,Risør,239bs7-0,Melding om arbeidsulykke. En person skal ha falt fra litt høyde under arbeid. Våken og ved bevissthet. Politi og ambulanse på vei.,2023-10-04T11:53:27.8128128+00:00,
239bs7,Agder Politidistrikt,205,Andre hendelser,Risør,239bs7-1,Ambulanse er fremme. Fremstår ikke som en alvorlig skade.,2023-10-04T12:02:17.3479744+00:00,
23z7sc,Innlandet Politidistrikt,203,Ulykke,Østre Toten,23z7sc-0,"Trafikkulykke v/Breili, påkjørsel bakfra, nødetater på veg, forts.",2023-10-04T11:51:31.8780957+00:00,
23z7sc,Innlandet Politidistrikt,203,Ulykke,Østre Toten,23z7sc-1,"Trafikken flyter, flere involverte personer, en person sjekkes av ambulanse på stedet, forts.",2023-10-04T12:02:18.6645562+00:00,
23z7sc,Innlandet Politidistrikt,203,Ulykke,Østre Toten,23z7sc-2,"Bil kjørte inn i forankjørende sørgående v/avkjøring Nordlia kirke, en person behandles av ambulanse, vi oppretter sak og etterforsker.",2023-10-04T12:24:17.4110594+00:00,
23l4sr,Nordland Politidistrikt,210,Trafikk,Bodø,23l4sr-0,Mann i 30-årene stanset i kontroll og siktet for kjøring av personbil i ruset tilstand. Fremstilt for bevissikring og førerkort beslaglagt. ,2023-10-04T11:45:37.353945+00:00,
2360t4,Agder Politidistrikt,205,Trafikk,Arendal,2360t4-0,Melding om trafikkulykke. Bil og sykkel involvert. Syklisten er våken og bevisst. Lav fart ved sammenstøtet. Ambulanse og politi på vei.,2023-10-04T11:11:37.1525864+00:00,
2360t4,Agder Politidistrikt,205,Trafikk,Arendal,2360t4-1,"Nødetatene er fremme. pasient fremstår ikke alvorlig skadet, tas med av ambulanse for videre undersøkelser.",2023-10-04T11:15:05.7225278+00:00,
