parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
237lw9,Sør-Øst Politidistrikt,204,Trafikk,Hole,237lw9-3,Nødetatene er ferdige på stedet og veien er åpen.,2023-11-01T17:09:27.0358199+00:00,
23wgxq,Agder Politidistrikt,205,Andre hendelser,Kristiansand,23wgxq-0,"Agder pd mottar flere tlf. om forsøk på svindel pr tlf. Oppringt fra ett mobilnummer og person som sier han ringer fra DNB/politi vedr ett opprettet forbrukslån opprettet i melders navn. Velkjent svindelmetode. Ikke gi ut opplysninger, legg på og blokker nummeret.",2023-11-01T16:07:20.3052328+00:00,
23jcx3,Agder Politidistrikt,205,Trafikk,Kristiansand,23jcx3-0,AMK melder om påkjørsel av person. Person er våken og bevisst. Uklart hva som er skjedd. AMB og politi på vei til stedet.,2023-11-01T15:55:41.4415124+00:00,
23jcx3,Agder Politidistrikt,205,Trafikk,Kristiansand,23jcx3-1,Vi er fremme på stedet. Person tilses av AMB. Trafikken går nå som normalt. Vi innhenter opplysninger på stedet.,2023-11-01T16:02:36.3598986+00:00,
23jcx3,Agder Politidistrikt,205,Trafikk,Kristiansand,23jcx3-2,"Pasient kjørt SSK med AMB. Vi har avhørt vitner på stedet. Ingen har sett hendelsen. Person lå i veibanen like ved fotgjengerfelt, og kan være påkjørt. Ingen involvert bil på stedet.",2023-11-01T16:32:20.9216651+00:00,
2348xj,Trøndelag Politidistrikt,209,Trafikk,Melhus,2348xj-0,Utforkjøring i Aundalen. Ikke meldt om alvorlig personskade. Patrulje på stedet. Ikke til hinder for trafikk.,2023-11-01T15:19:47.1407918+00:00,
23s4xx,Agder Politidistrikt,205,Ulykke,Flekkefjord,23s4xx-0,"Melding fra AMK om arbeidsulykke. Skjedd ifm sprengningsarbeid, en person skadd, våken og bevisst. Det skal være snakk om bruddskader. AMB og politi på vei til stedet.",2023-11-01T15:19:28.4471358+00:00,
23s4xx,Agder Politidistrikt,205,Ulykke,Flekkefjord,23s4xx-1,Pasient fraktet til sykehus med AMB. Vi er på stedet og gjør undersøkelser for å finne årsaken til ulykken.,2023-11-01T16:45:07.8584293+00:00,
23f1z9,Sør-Øst Politidistrikt,204,Trafikk,Tønsberg,23f1z9-0,"15:55 Nødetatene er på stedet etter melding om sammenstøt mellom buss og bil. Skal ikke være personskade, men en del trafikale utfordringer. Skjedd like syd for avkjøringen til Eik.",2023-11-01T15:16:18.7910994+00:00,
23f1z9,Sør-Øst Politidistrikt,204,Trafikk,Tønsberg,23f1z9-1,Begge kjøretøyene er fjernet og veien er åpen. Skjedd i lav hastighet og saken løses med skademelding.,2023-11-01T16:10:08.1488599+00:00,
231zqf,Trøndelag Politidistrikt,209,Trafikk,Orkland,231zqf-0,Utforkjøring i Klinglien på Svorkmo. Bil på siden. Nødetatene har rykket ut.,2023-11-01T14:47:33.8721765+00:00,
231zqf,Trøndelag Politidistrikt,209,Trafikk,Orkland,231zqf-1,"Ett felt sperret, men trafikken kommer forbi ulykkesstedet. Fører sjekkes av ambulanse.",2023-11-01T15:16:57.7696278+00:00,
23qwz3,Møre og Romsdal Politidistrikt,208,Ulykke,Ørsta,23qwz3-0,Naudetatane rykker ut til E39 Nordre Vartdal etter melding om trafikkulykke. Kollisjon mellom 2 bilar i lav fart i eit vegkryss. Det er opplyst å ikkje vere personskade. Vert oppdatert.,2023-11-01T14:38:47.4745065+00:00,
